Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
150620 SALINOPOLIS;5,98;993;16602
150630 SALVATERRA;4,96;360;7256
150635 SANTA BARBARA DO PARA;11,45;741;6472
150640 SANTA CRUZ DO ARARI;11,22;302;2691
150650 SANTA IZABEL DO PARA;10,09;2441;24188
150655 SANTA LUZIA DO PARA;7,82;466;5961
150658 SANTA MARIA DAS BARREIRAS;4,44;250;5627
150660 SANTA MARIA DO PARA;4,77;458;9599
150670 SANTANA DO ARAGUAIA;17,71;4073;23001
150680 SANTAREM;8,71;10555;121237
150690 SANTAREM NOVO;5,6;97;1732
150700 SANTO ANTONIO DO TAUA;8,27;885;10699
150710 SAO CAETANO DE ODIVELAS;7,62;483;6342
